// This research has made use of the NASA Exoplanet Archive, which is operated by the California Institute of Technology, under contract with the National Aeronautics and Space Administration under the Exoplanet Exploration Program.;;;;;;;;;;;;;
Identifier;Host Name;Orbital Period [days];Planet Density [g/cm**3];Distance [pc];Effective Temperature [K];Date of Last Update;Planet Name;Planet Mass [Earth mass];Planet Radius [Earth radii];Year of Discovery;Link to Exoplanet Encyclopaedia;HD Name;HIP Name
// Our solar systen:
corot_1_b;CoRoT-1;1,5089557;0,38;;5950;14.05.2014;CoRoT-1 b;327,35;16,7;2008;http://exoplanet.eu/catalog/corot-1_b/;;
corot_10_b;CoRoT-10;13,2406;3,7;345;5075;14.05.2014;CoRoT-10 b;874;10,87;2010;http://exoplanet.eu/catalog/corot-10_b/;;
corot_11_b;CoRoT-11;2,99433;0,99;560;6440;14.05.2014;CoRoT-11 b;740,51;16,03;2010;http://exoplanet.eu/catalog/corot-11_b/;;
corot_12_b;CoRoT-12;2,828042;0,411;1150;5675;14.05.2014;CoRoT-12 b;291,438;16,14;2010;http://exoplanet.eu/catalog/corot-12_b/;;
corot_13_b;CoRoT-13;4,03519;2,34;1060;5945;14.05.2014;CoRoT-13 b;415,704;9,92;2010;http://exoplanet.eu/catalog/corot-13_b/;;
corot_14_b;CoRoT-14;1,51214;7,3;1340;6035;14.05.2014;CoRoT-14 b;2415,4;12,22;2010;http://exoplanet.eu/catalog/corot-14_b/;;
corot_16_b;CoRoT-16;5,35227;0,44;840;5650;14.05.2014;CoRoT-16 b;170,032;13,11;2011;http://exoplanet.eu/catalog/corot-16_b/;;
corot_17_b;CoRoT-17;3,7681;2,82;920;5740;14.05.2014;CoRoT-17 b;772,29;11,43;2011;http://exoplanet.eu/catalog/corot-17_b/;;
corot_18_b;CoRoT-18;1,9000693;2,2;870;5440;14.05.2014;CoRoT-18 b;1102,82;14,68;2011;http://exoplanet.eu/catalog/corot-18_b/;;
corot_19_b;CoRoT-19;3,89713;0,71;770;6090;14.05.2014;CoRoT-19 b;352,78;14,46;2011;http://exoplanet.eu/catalog/corot-19_b/;;
corot_2_b;CoRoT-2;1,7429935;1,47;200;5625;14.05.2014;CoRoT-2 b;1102,82;16,432;2008;http://exoplanet.eu/catalog/corot-2_b/;;
corot_20_b;CoRoT-20;9,24285;8,87;1230;5880;14.05.2014;CoRoT-20 b;1347,54;9,42;2011;http://exoplanet.eu/catalog/corot-20_b/;;
corot_22_b;CoRoT-22;9,75598;0,249;592;5939;21.08.2014;CoRoT-22 b;12,2;4,88;2014;http://exoplanet.eu/catalog/corot-22_b/;;
corot_23_b;CoRoT-23;3,6313;3;600;5900;14.05.2014;CoRoT-23 b;889,9;11,77;2011;http://exoplanet.eu/catalog/corot-23_b/;;
corot_24_b;CoRoT-24;5,1134;0,9;600;4950;11.06.2014;CoRoT-24 b;5,7;3,7;2014;http://exoplanet.eu/catalog/corot-24_b/;;
corot_24_c;CoRoT-24;11,759;1,3;600;4950;11.06.2014;CoRoT-24 c;28;5;2014;http://exoplanet.eu/catalog/corot-24_c/;;
corot_25_b;CoRoT-25;4,86069;0,15;1000;6040;14.05.2014;CoRoT-25 b;85,81;12,11;2013;http://exoplanet.eu/catalog/corot-25_b/;;
corot_26_b;CoRoT-26;4,20474;0,28;1670;5590;14.05.2014;CoRoT-26 b;165,26;14,12;2013;http://exoplanet.eu/catalog/corot-26_b/;;
corot_27_b;CoRoT-27;3,57532;12,6;;5900;14.05.2014;CoRoT-27 b;3302,11;11,287;2014;http://exoplanet.eu/catalog/corot-27_b/;;
corot_28_b;CoRoT-28;5,20851;0,69;560;5150;16.04.2015;CoRoT-28 b;153,82972;10,705;2015;http://exoplanet.eu/catalog/corot-28_b/;;
corot_29_b;CoRoT-29;2,85057;1,45;765;5260;16.04.2015;CoRoT-29 b;270,1555;10,088;2015;http://exoplanet.eu/catalog/corot-29_b/;;
corot_3_b;CoRoT-3;4,2568;26,4;680;6740;14.05.2014;CoRoT-3 b;6883,91;11,32;2008;http://exoplanet.eu/catalog/corot-3_b/;;
corot_4_b;CoRoT-4;9,20205;0,525;;6190;14.05.2014;CoRoT-4 b;228,83;13,34;2008;http://exoplanet.eu/catalog/corot-4_b/;;
corot_5_b;CoRoT-5;4,0378962;0,217;;6100;14.05.2014;CoRoT-5 b;148,42;15,558;2009;http://exoplanet.eu/catalog/corot-5_b/;;
corot_6_b;CoRoT-6;8,886593;2,32;;6090;14.05.2014;CoRoT-6 b;940,74;13,068;2009;http://exoplanet.eu/catalog/corot-6_b/;;
corot_7_b;CoRoT-7;0,85359159;7,5;153,7;5259;05.03.2015;CoRoT-7 b;5,74;1,585;2009;http://exoplanet.eu/catalog/corot-7_b/;;
corot_7_c;CoRoT-7;3,698;;153,7;5259;10.09.2015;CoRoT-7 c;8,4;;2009;http://exoplanet.eu/catalog/corot-7_c/;;
corot_8_b;CoRoT-8;6,21229;1,6;380;5080;14.05.2014;CoRoT-8 b;69,92;6,39;2010;http://exoplanet.eu/catalog/corot-8_b/;;
corot_9_b;CoRoT-9;95,2738;0,9;460;5625;14.05.2014;CoRoT-9 b;266,97;11,77;2009;http://exoplanet.eu/catalog/corot-9_b/;;
denis_p_j082303_1_491201_b;DENIS-P J082303.1-491201;246,36;;20,77;;14.05.2014;DENIS-P J082303.1-491201 b;9057,77;;2013;;;
dh_tau_b;DH Tau;;;140;;14.05.2014;DH Tau b;3496;;2004;http://exoplanet.eu/catalog/dh_tau_b/;;
dp_leo_b;DP Leo;10220;;;;14.05.2014;DP Leo b;;;2009;http://exoplanet.eu/catalog/dp_leo_b/;;
epic_211351816_b;EPIC 211351816;8,4061;0,02;763;4790;29.09.2016;EPIC 211351816 b;349,613;14,684;2016;;;
epic_211391664_b;EPIC 211391664;10,13675;2,15;435;6120;29.09.2016;EPIC 211391664 b;32,2;4,3;2016;http://exoplanet.eu/catalog/epic_211391664_b/;;
epic_211822797_b;EPIC 211822797;21,169619;;181,5;3880;21.12.2016;EPIC 211822797 b;;2,2;2016;http://exoplanet.eu/catalog/epic_211822797_b/;;
epic_211913977_b;EPIC 211913977;14,677286;;181,5;4819;21.12.2016;EPIC 211913977 b;;2;2016;http://exoplanet.eu/catalog/epic_211913977_b/;;
epic_211969807_b;EPIC 211969807;1,97419;;181,5;3660;21.12.2016;EPIC 211969807 b;;1,9;2016;http://exoplanet.eu/catalog/epic_211969807_b/;;
epic_211970147_b;EPIC 211970147;9,915615;;181,5;4695;21.12.2016;EPIC 211970147 b;;1,3;2016;http://exoplanet.eu/catalog/epic_211970147_b/;;
epic_211990866_b;EPIC 211990866;1,673916;;181,5;6120;21.12.2016;EPIC 211990866 b;;3,5;2016;http://exoplanet.eu/catalog/epic_211990866_b/;;
epic_220674823_b;EPIC 220674823;0,571308;;253;5590;26.01.2017;EPIC 220674823 b;;1,46;2016;http://exoplanet.eu/catalog/epic_220674823_b/;;
